firstname,lastname,worker_origins__name->origin_id,zones__name->zone_id,controllers__lastname->controller_id,action_choice,action_params,report,powers
Iwao (岩男),Jizane,Shikoku - Iyo,Montagnes d’Iyo,Shikoku (四国),passive,{},"{""life_report"":""Depuis des siècles moi Iwao (岩男 — « homme-rocher ») des Yōkai (妖怪) arpente les flancs des montagnes d’Iyo.""}",Chigiriki (契木) – Masse à chaîne|Kadō / Ikebana (華道 / 生け花) – Art floral|Kagekui-ryū (影喰流) – École du Mange-Ombre|Kagenkō (影言講) – L’art de la parole de l’ombre|Kannushi (神主) – Prêtre shintō|Kōdō (香道) – Voie de l’encens|Thé d’Oboké|Encens Coréen|Cheval de Takamatsu|Kyūjutsu (弓術) – Art du tir à l’arc
Hiuchi (火打),Kagaribi,Shikoku - Tosa,Cap sud de Tosa,Shikoku (四国),passive,{},"{""life_report"":""Depuis des siècles moi Hiuchi (火打 — « pierre à feu ») des Yōkai (妖怪) je terrorise le cap sud de Tosa.""}",Encens Coréen|Kadō / Ikebana (華道 / 生け花) – Art floral|Kagekui-ryū (影喰流) – École du Mange-Ombre|Kagenkō (影言講) – L’art de la parole de l’ombre|Kōdō (香道) – Voie de l’encens|Kōsaku (工作) – Saboteur|Teppō (鉄砲) – Une arquebuse à mèche|Shodō (書道) – Calligraphie|Thé d’Oboké|Cheval de Takamatsu
Kosagi (小鷺),Noayame,Shikoku - Awaji,Ile d’Awaji,Shikoku (四国),passive,{},"{""life_report"":""Depuis des siècles moi Kosagi (小鷺 — « petite héronne ») des Yōkai (妖怪) hante les falaises d’Awaji.""}",Kadō / Ikebana (華道 / 生け花) – Art floral|Kagekui-ryū (影喰流) – École du Mange-Ombre|Kagemusha (影武者) – Sosie du seigneur|Kagenkō (影言講) – L’art de la parole de l’ombre|Kōdō (香道) – Voie de l’encens|Tessen (鉄扇) – Éventail de fer|Thé d’Oboké|Encens Coréen|Cheval de Takamatsu|Armure en fer de Kubokawa
Kazusa (風佐),Kotatsu,Shikoku - Shōdoshima,Ile de Shōdoshima,Shikoku (四国),passive,{},"{""life_report"":""Depuis des siècles moi Kazusa (風佐 — « celui qui suit le vent ») des Yōkai (妖怪) hante les vallons de Shōdoshima.""}",Biwa Hōshi (琵琶法師) – Conteur aveugle itinérant|Kagekui-ryū (影喰流) – École du Mange-Ombre|Kagenkō (影言講) – L’art de la parole de l’ombre|Kōdō (香道) – Voie de l’encens|Tokkuri (徳利) – Bouteille à saké|Cheval de Takamatsu|Armure en fer de Kubokawa|Sōjutsu (槍術) – Art de la lance (Yari)
Renjun (蓮淳),fils de Rennyo (蓮如),Honshu - Kyoto,Montagnes d’Iyo,Jōdo-shinshū (浄土真宗),passive,{},"{""life_report"":""Je suis Renjun (蓮淳), un des fils de Rennyo (蓮如) et l’oncle d’Ennyo (円如), venu du nord de Kyoto pour soutenir ma famille et subvertir la religion Tendai dans les Montagnes d’Iyo.""}",Reiki / Kujikiri (霊気 / 九字切り) – Pratiques ésotériques|Kagenkō (影言講) – L’art de la parole de l’ombre|Tokkuri (徳利) – Bouteille à saké
Asakura(朝倉),Mitsunao-dono(光直-殿),Honshu - Kyoto,Cité impériale de Kyōto,Ashikaga (足利),passive,{},"{""life_report"":""Je Mitsunao-dono(光直-殿) du clan Asakura(朝倉), conseiller personnel du Shogun au palais impérial de Kyoto.""}",Armure en fer de Kubokawa|Bugaku (舞楽) – Danse de cour|Go-ban (碁盤) – Plateau de Go|Heihō (兵法) – Stratégie militaire|Shodō (書道) – Calligraphie|Tsūshi (通使) – Diplomate ou émissaire|Cheval de Takamatsu|Thé d’Oboké|Kyūjutsu (弓術) – Art du tir à l’arc
,Ibara-dono(茨の紅-殿),Honshu - Kyoto,Cité impériale de Kyōto,Ashikaga (足利),passive,{},"{""life_report"":""Je suis Ibara-dono(茨の紅-殿), la première courtisane de Kyoto, mon nom est connu du Shogun lui-même.""}",Bugaku (舞楽) – Danse de cour|Chadō (茶道) – Voie du thé|Kyūjutsu (弓術) – Art du tir à l’arc|Ninja-kahō (忍者家法) – Membre d’une lignée de ninjas|Shamisen (三味線) – Instrument à cordes|Shodō (書道) – Calligraphie|Kagenkō (影言講) – L’art de la parole de l’ombre|Reiki / Kujikiri (霊気 / 九字切り) – Pratiques ésotériques|Cheval de Takamatsu
Takeda(武田),Renryū-dono(蓮竜-殿),Honshu - Kyoto,Cité impériale de Kyōto,Ashikaga (足利),passive,{},"{""life_report"":""Je suis Renryū-dono(蓮竜-殿), un cousin du clan Takeda (武田), révolté contre les actions de Takeda Shingen (信玄), je suis venu de l’est pour protéger le Shogun.""}",Bajutsu (馬術) – Art de l’équitation militaire|Chadō (茶道) – Voie du thé|Cheval de Takamatsu|Iaijutsu (居合術) – Art du sabre|Katana (刀) – L’arme emblématique du samouraï|Kuro-hatamoto (黒旗本) – Garde d’élite|Thé d’Oboké|Encens Coréen|Haikai / Haiku (俳諧 / 俳句) – Poésie courte
,Sōen-dono(僧円-殿),Honshu - Kyoto,Cité impériale de Kyōto,Ashikaga (足利),passive,{},"{""life_report"":""Je suis Sōen-dono(僧円-殿), maitre moine Tendai au service du Shogun au palais impérial de Kyoto.""}",Chadō (茶道) – Voie du thé|Chadōgu (茶道具) – Ustensiles du thé|Encens Coréen|Kadō / Ikebana (華道 / 生け花) – Art floral|Kannushi (神主) – Prêtre shintō|Yawara (和) – Ancienne forme de techniques de soumission|Cheval de Takamatsu|Jūjutsu (柔術) – Techniques de lutte à mains nues|Tessenjutsu (鉄扇術) – L’art du combat à l’éventail de fer|Kyūjutsu (弓術) – Art du tir à l’arc
Bansō (番僧),Saitō (西塔),Honshu - Kyoto,Montagnes d’Iyo,Tendai (天台宗),passive,{},"{""life_report"":""Je suis le moine-soldat Saitō (西塔), formé au pavillon ouest d’Enryaku-ji, je garde les temples comme un dernier rempart de la voie Tendai à Shikoku.""}",Bansō (番僧) – Moine de garde|Naginatajutsu (薙刀術) – Art de la hallebarde|Katana (刀) – L’arme emblématique du samouraï
