name,description,hide_turn_zero,controllers__lastname->claimer_controller_id,controllers__lastname->holder_controller_id
Railway Station,"(Stazione ferroviaria norte) Au nord de Florence se situe Peretola, un village qui s’est fait absorber pour devenir un quartier d’habitations bas de gamme à cause de la présence du petit aéroport de Florence et des quelques avions qui passent au-dessus des habitations.",0,,
Le Cascine,"Le quartier du Cascine tire son nom de son parc, le plus grand parc public de la ville de Florence, issu des anciennes fermes grand-ducales. Le quartier est principalement occupé par les halles du Mercatello delle Cascine, le plus vaste marché de la ville.",0,,
Monticelli,"Situé de l’autre côté du Fleuve Arno face au parc Cascine, c’est dans ce quartier excentré de Florence que l’on trouve les étudiants et les maisons de ceux qui tiennent les boutiques du Mercatello delle Cascine.",0,,
Fortezza Basso,"La Forteresse de Basso est une construction massive datant du 16ème siècle, qui est désormais devenue un palais des expositions. Elle donne son nom au quartier qui contient aussi le Centre hospitalier universitaire et la Scuola di ingegneria.",0,,
Santa Maria Novella,Ce quartier est un centre-ville commerçant qui tire son nom de sa basilique Sainte Marie Nouvelle. Ce quartier est traversé par la rue commerçante Sainte Marie qui mène de la gare Santa Maria de Firenze jusqu’au au Mercato di San Lorenzo.,0,,
Indipendenza,Le quartier de l’indépendance et la place publique dont elle tire son nom sont situés au coeur du centre historique de Firenze et sont faciles à atteindre depuis la gare principale de Santa Maria Novella.,0,,
Duomo,"Le Duomo est l’autre nom de la Cathédrale Santa Maria del Fiore, la 5ème église d’Europe qui domine la Piazza del Duomo. Cette place du centre ville piétonnier est bordée du musée de l’opéra et de plusieurs Palazzos.",0,,
Palazzo Pitti,"Ce quartier est dominé par le Palazzo Pitti, un sublime palais de la Renaissance qui forme le centre des affaires du dernier Sénéchal de la ville. Ce quartier est situé de l’autre côté de l’Arno et connecté au centre ville par le fameux Ponte Vecchio.",0,,
Santa Croce - Oberdan,"Entre la basilique Santa Croce et la place du buste de Guglielmo, Oberdan est le quartier financier de Florence. Ses multiples ‘rue Giovanni’ (Angelico, Bovio, Ciambue et Lanza) sont le fruit d’une influence notable.",0,,
Piazza della Liberta & Savonarola,La place de la Liberté marque la fin du centre ville et le début du quartier des universités anciennes de la ville. L’on peut y trouver l’Université de Syracuse et l’Instituto Leonardo Da Vinci.,0,,
Michelangelo-Gavinana,"Ce quartier du sud de Florence est le plus étendu des quartiers, il est composé de bâtiments qui longent le fleuve Arno. On y trouve un golf, des hôtels de luxe, une parfumerie et la Viale Europa qui traverse le quartier de part en part.",0,,
Campo di Marte,L’ancien Champ de mars de Firenze est devenue un immense complexe sportif au milieu d’un quartier plus résidentiel. L’autre grand élément de ce quartier est la gare de fret du Champ de Mars.,0,,
Bosco Bello,"Niché sur les hauteurs boisées à l’est de Florence, les villas de la Renaissance aux murs couverts de lierre côtoient de petites chapelles oubliées, au milieu des vignes. Considéré comme un lieu de retraite pour les nobles et les artistes, le Bosco Bello est un quartier discret, empreint de mystère et de sérénité.",0,,
